t,u,v,speed,direction,u2,v2,pres,ibe
1989,1.6518685,0.94256645,2.8400843,2.443559,5.9575214,3.4529738,237.84245,-2.353859
1990,2.4545112,1.060696,3.4489946,2.6060476,9.700357,6.0090585,191.97722,-1.899941
1991,1.4232893,0.62217546,2.449537,2.6041253,3.706005,0.5329805,281.1172,-2.7821395
1992,2.011461,0.90120906,3.0537639,2.0240712,7.626114,2.1760676,180.375,-1.7851164
1993,1.4258204,0.69570965,2.5865693,2.6381214,7.195466,2.3397732,154.43098,-1.5283544
1994,2.2106836,1.4597923,3.3015394,1.206849,9.936798,4.3004065,22.550781,-0.22316533
1995,1.4196335,0.3761728,3.1731966,2.7627485,5.0513988,0.964192,123.010414,-1.217392
1996,0.1187702,0.31962287,2.4623127,3.0291564,-0.5044144,1.0421954,56.529297,-0.5594431
1997,1.1544037,1.0123609,2.5373788,2.3759017,4.3958488,4.3470125,170.20638,-1.68448
1998,2.832867,1.2514704,3.4665127,1.3626434,9.873943,2.8174477,39.940105,-0.39526367
1999,2.3104339,1.2697501,2.9640474,1.5855343,8.781562,3.3107424,-23.855469,0.23610699
2000,2.6042101,1.715348,3.7689219,2.0467534,9.687323,7.589819,-82.13802,0.8129163
2001,1.7173378,0.5812509,2.8364768,2.883815,4.8895817,2.7186081,79.5332,-0.7871075
2002,1.3719918,1.3392671,2.782412,1.8478383,5.2192564,4.4044304,64.07096,-0.63408124
2003,0.893621,0.71739405,1.9436002,2.1232688,2.0716898,1.7079254,246.80925,-2.4426014
2004,2.3401887,0.7937414,2.9090226,1.8848082,6.6410117,2.2181866,127.70377,-1.263841
2005,1.9142679,0.31476948,2.422918,3.2792592,5.636581,0.78850675,202.63477,-2.0054164
2006,1.7580377,1.1738782,2.7882056,2.7001133,6.3331513,3.980008,104.85677,-1.0377294
2007,2.2105277,0.17590667,2.8880155,2.8133397,8.769195,0.42113078,146.31511,-1.4480332
2008,2.1720138,1.2729154,3.343202,1.8758311,7.781633,4.048623,4.426432,-0.04379279
2009,1.771044,1.1084965,2.8184192,2.6379502,5.693721,4.560954,-18.3431,0.18155222
2010,0.6924183,-0.03904213,1.794766,2.2851427,1.7803307,-0.7296725,-59.655598,0.5904128
2011,1.9124479,1.2523823,2.9445064,1.6570743,7.8015976,3.458502,204.63281,-2.0251906
2012,2.2379656,1.2643853,2.863273,1.9105933,6.4544415,3.1464996,35.375,-0.35008398
2013,0.97660947,0.5757411,2.5203354,3.3760026,2.0994961,3.1925154,129.34831,-1.2801166
2014,1.2610127,1.6020721,3.211048,2.2604547,4.4770613,9.432332,-47.64974,0.4715935
2015,2.3927488,1.1824474,3.2054915,2.0024152,9.99027,5.0406485,311.62695,-3.0840876
