time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1990,-0.1577836773266199,-0.2928520676025368,-0.40830138088497314,-0.08528307604439606,-0.25368506503324345,-0.35966579510789454
1991,-3.885279608402578,-4.524743614058615,-4.4884443450061635,-3.814713681556393,-4.485340053020882,-4.441538512592422
1992,-2.0487308349323516,-3.0791825366104284,-3.0601606308150586,-1.9804190613796473,-3.0395672667711047,-3.0152046726999018
1993,-1.5495125659795477,-2.8900041468711333,-2.8807666953028264,-1.4837831032127573,-2.850202068970662,-2.837986339628801
1994,0.5561888174839247,-0.9403281028623827,-0.9784611333554807,0.6189991333373764,-0.9003641687148008,-0.9380877154724346
1995,3.1566103390342697,1.6948717099403119,1.764335137039323,3.2161559932119688,1.734972497447373,1.8020646745742424
1996,-2.6218375680443824,-3.9785081216174563,-3.9505734081573127,-2.5659107689398417,-3.9382955347121404,-3.915730300734968
1997,-1.8695529642350932,-2.8775234667504472,-2.926430571829931,-1.8176078922361074,-2.837224185481696,-2.8947220514919088
1998,1.0716104054927218,0.6130598808210461,0.6229373760336561,1.1192021997187644,0.6534207003448197,0.6512575451083064
1999,0.744191211663578,0.781545052646619,0.7991869026563929,0.7870494988143002,0.821942203243408,0.8238593490813239
2000,-0.7200232160956226,-0.24273365826589988,-0.37814956264067945,-0.6822873439575897,-0.20232543485169624,-0.3573898174591165
2001,1.8390835158405228,2.8192472029900237,2.8390696473337265,1.871299386393505,2.859641189892447,2.8556461054709716
2002,-0.5310020684381911,0.7751710162407122,0.7501556415060158,-0.5047124646776088,0.8155254062285663,0.7622726195906951
2003,-0.33945879758528363,1.1605780729116137,1.1992581723011675,-0.3195104044594428,1.2008674545085158,1.206633870117732
2004,0.33951078510040134,1.9189443959281522,1.9689574549041193,0.35269434511416675,1.9591433065841255,1.9713044650297182
2005,2.0772005813042007,3.519296261191414,3.6177570614829584,2.083187007093569,3.5593791872828877,3.6147823692874432
2006,-0.6468133997092167,0.4434691125593009,0.4469293713298068,-0.6484650878915594,0.48341048938911013,0.43833435497572815
2007,2.13244548929228,2.8872340159865004,3.008914169988433,2.1227060287559216,2.9270082277838867,2.9943946004310407
2008,0.6676139029679842,0.8350896228315765,0.8454855279798021,0.6493283330603118,0.8746710027521868,0.8247315689670449
2009,-0.07953662503803649,-0.46161401076387065,-0.45239725126885233,-0.10683531996930706,-0.42225118063798295,-0.4797010431963234
2010,1.688111456443739,0.8687775165554061,1.051668761277453,1.6513239422015928,0.9078960278950307,1.0174940857686174
